genre1,genre2,years_together,first_year,last_year
dance pop,boy band,14,2001,2021
dance pop,british soul,9,2001,2022
dance pop,broadway,1,2014,2014
dance pop,brostep,5,2015,2021
dance pop,bubblegum dance,3,2000,2023
dance pop,cali rap,6,2006,2020
dance pop,canadian contemporary r&b,6,2015,2023
dance pop,canadian country,1,2003,2003
dance pop,canadian hip hop,14,2009,2023
dance pop,canadian latin,4,2001,2007
dance pop,canadian pop,18,2001,2022
dance pop,candy pop,5,2002,2014
dance pop,cantautor,1,2005,2005
dance pop,ccm,2,2004,2019
dance pop,celtic,2,2001,2004
dance pop,celtic rock,3,2010,2013
dance pop,chamber pop,1,2013,2013
dance pop,chicago drill,4,2020,2023
dance pop,chicago rap,17,2000,2021
dance pop,chicano rap,5,2003,2008
dance pop,classic soul,1,2001,2001
dance pop,colombian pop,8,2002,2023
dance pop,comic,1,2013,2013
dance pop,complextro,5,2013,2018
dance pop,conscious hip hop,12,2000,2023
dance pop,contemporary country,17,2002,2021
dance pop,country,2,2000,2003
dance pop,country rap,4,2019,2022
dance pop,crunk,13,2000,2022
dance pop,cubaton,1,2014,2014
dance pop,dancehall,3,2002,2004
dance pop,deep dance pop,1,2011,2011
dance pop,deep groove house,1,2015,2015
dance pop,deep latin christian,1,2000,2000
dance pop,deep pop r&b,5,2000,2012
dance pop,deep southern trap,1,2008,2008
dance pop,detroit hip hop,17,2000,2020
dance pop,dfw rap,7,2016,2023
dance pop,dirty south rap,15,2000,2019
dance pop,disco,1,2001,2001
dance pop,downtempo,1,2001,2001
dance pop,dutch pop,1,2021,2021
dance pop,east coast hip hop,11,2000,2020
dance pop,edm,9,2011,2019
dance pop,electro,3,2013,2017
dance pop,electropop,10,2009,2023
dance pop,electropowerpop,1,2008,2008
dance pop,emo,7,2005,2015
dance pop,emo rap,3,2017,2019
dance pop,escape room,2,2021,2022
dance pop,eurodance,2,2000,2002
dance pop,europop,2,2002,2003
dance pop,florida rap,5,2008,2023
dance pop,folk rock,2,2003,2011
dance pop,folk-pop,7,2002,2015
dance pop,francoton,2,2017,2018
dance pop,funk,2,2000,2003
dance pop,g funk,12,2000,2014
dance pop,gangster rap,10,2002,2016
dance pop,garage rock,2,2009,2010
dance pop,gauze pop,2,2021,2022
dance pop,ghanaian hip hop,1,2015,2015
dance pop,girl group,2,2000,2001
dance pop,glam metal,1,2006,2006
dance pop,glam rock,1,2022,2022
dance pop,gospel,1,2000,2000
dance pop,gospel r&b,2,2003,2004
dance pop,hardcore hip hop,1,2004,2004
dance pop,hip hop,16,2000,2023
dance pop,hip pop,11,2000,2016
dance pop,hollywood,1,2019,2019
dance pop,house,2,2014,2016
dance pop,houston rap,1,2015,2015
dance pop,idol,3,2003,2008
dance pop,indie folk,1,2015,2015
dance pop,indie pop,5,2010,2018
dance pop,indie pop rap,1,2009,2009
dance pop,indie poptimism,1,2014,2014
dance pop,indie r&b,2,2008,2018
dance pop,indie rock,1,2005,2005
dance pop,irish rock,3,2001,2007
dance pop,jam band,1,2001,2001
dance pop,k-pop,2,2020,2021
dance pop,la indie,1,2013,2013
dance pop,latin,9,2000,2020
dance pop,latin viral pop,2,2014,2022
dance pop,metropopolis,3,2014,2019
dance pop,miami hip hop,1,2016,2016
dance pop,modern alternative rock,4,2012,2016
dance pop,modern reggae,1,2017,2017
dance pop,modern rock,11,2002,2022
dance pop,motown,1,2003,2003
dance pop,nashville indie,1,2013,2013
dance pop,neo mellow,15,2001,2016
dance pop,neo r&b,1,2008,2008
dance pop,neo soul,3,2000,2004
dance pop,neo-singer-songwriter,1,2015,2015
dance pop,neon pop punk,1,2007,2007
dance pop,new orleans rap,1,2008,2008
dance pop,nu metal,1,2006,2006
dance pop,nyc rap,4,2001,2014
dance pop,permanent wave,7,2000,2017
dance pop,philly rap,3,2003,2023
dance pop,piano rock,1,2011,2011
dance pop,pinoy hip hop,2,2015,2016
dance pop,pop,19,2002,2023
dance pop,pop edm,1,2013,2013
dance pop,pop house,1,2002,2002
dance pop,pop punk,2,2016,2017
dance pop,pop rap,7,2004,2018
dance pop,pop rock,4,2011,2016
dance pop,post-teen pop,3,2009,2022
dance pop,r&b,6,2002,2014
dance pop,rap,4,2017,2021
dance pop,rap conscient,1,2020,2020
dance pop,reggae fusion,4,2001,2019
dance pop,reggaeton,5,2018,2023
dance pop,romanian pop,1,2011,2011
dance pop,scorecore,1,2015,2015
dance pop,soca,1,2004,2004
dance pop,trap music,4,2017,2020
dance pop,tropical house,1,2014,2014
dance pop,uk funky,1,2016,2016
dance pop,uk pop,1,2013,2013
dance pop,viral trap,1,2015,2015
dancehall,acoustic pop,2,2002,2003
dancehall,alaska indie,1,2002,2002
dancehall,alternative hip hop,1,2002,2002
dancehall,australian country,1,2004,2004
dancehall,battle rap,1,2004,2004
dancehall,blues-rock,2,2003,2004
dancehall,bounce,1,2004,2004
dancehall,boy band,1,2002,2002
dancehall,british soul,1,2003,2003
dancehall,canadian latin,1,2002,2002
dancehall,ccm,1,2004,2004
dancehall,celtic,1,2004,2004
dancehall,chicago rap,1,2003,2003
dancehall,chicano rap,2,2003,2004
dancehall,colombian pop,1,2002,2002
dancehall,conscious hip hop,1,2002,2002
dancehall,crunk,2,2002,2004
dancehall,detroit hip hop,1,2004,2004
dancehall,dirty south rap,1,2004,2004
dancehall,east coast hip hop,1,2004,2004
dancehall,folk-pop,3,2002,2004
dancehall,gangster rap,2,2002,2004
dancehall,gospel r&b,1,2004,2004
dancehall,hardcore hip hop,1,2004,2004
dancehall,idol,1,2003,2003
dancehall,modern rock,1,2002,2002
dancehall,neo mellow,2,2002,2004
dancehall,neo soul,1,2004,2004
dancehall,pop,1,2004,2004
dancehall,pop rap,1,2004,2004
dancehall,r&b,2,2002,2004
dancehall,soca,1,2004,2004
danish pop,afro dancehall,1,2016,2016
danish pop,atl hip hop,1,2016,2016
danish pop,australian dance,1,2016,2016
danish pop,boy band,1,2016,2016
danish pop,british soul,1,2016,2016
danish pop,canadian contemporary r&b,1,2016,2016
danish pop,canadian hip hop,1,2016,2016
danish pop,canadian pop,1,2016,2016
danish pop,chicago rap,1,2016,2016
danish pop,complextro,1,2016,2016
danish pop,conscious hip hop,1,2016,2016
danish pop,contemporary country,1,2016,2016
danish pop,dance pop,1,2016,2016
danish pop,dfw rap,1,2016,2016
danish pop,dirty south rap,1,2016,2016
danish pop,edm,1,2016,2016
danish pop,electro,1,2016,2016
danish pop,electropop,1,2016,2016
danish pop,gangster rap,1,2016,2016
danish pop,hip pop,1,2016,2016
danish pop,house,1,2016,2016
danish pop,miami hip hop,1,2016,2016
danish pop,modern alternative rock,1,2016,2016
danish pop,modern rock,1,2016,2016
danish pop,neo mellow,1,2016,2016
danish pop,permanent wave,1,2016,2016
danish pop,pinoy hip hop,1,2016,2016
danish pop,pop,1,2016,2016
danish pop,pop punk,1,2016,2016
danish pop,pop rock,1,2016,2016
danish pop,uk funky,1,2016,2016
deep dance pop,british soul,1,2011,2011
deep dance pop,canadian hip hop,1,2011,2011
deep dance pop,canadian pop,1,2011,2011
deep dance pop,detroit hip hop,1,2011,2011
deep dance pop,dirty south rap,1,2011,2011
deep dance pop,edm,1,2011,2011
deep dance pop,folk rock,1,2011,2011
deep dance pop,g funk,1,2011,2011
deep dance pop,latin,1,2011,2011
deep dance pop,pop,1,2011,2011
deep dance pop,pop rock,1,2011,2011
deep dance pop,romanian pop,1,2011,2011
deep groove house,bmore,1,2015,2015
deep groove house,brostep,1,2015,2015
deep groove house,cali rap,1,2015,2015
deep groove house,canadian pop,1,2015,2015
deep groove house,crunk,1,2015,2015
deep groove house,electropop,1,2015,2015
deep groove house,folk-pop,1,2015,2015
deep groove house,houston rap,1,2015,2015
deep groove house,indie folk,1,2015,2015
deep groove house,indie pop,1,2015,2015
deep groove house,modern alternative rock,1,2015,2015
deep groove house,pinoy hip hop,1,2015,2015
deep groove house,reggae fusion,1,2015,2015
deep groove house,scorecore,1,2015,2015
deep latin christian,acoustic pop,1,2000,2000
deep latin christian,chicago rap,1,2000,2000
deep latin christian,country,1,2000,2000
deep latin christian,crunk,1,2000,2000
deep latin christian,gospel,1,2000,2000
deep pop r&b,-,1,2012,2012
deep pop r&b,acoustic pop,3,2000,2012
deep pop r&b,alaska indie,1,2003,2003
deep pop r&b,alternative hip hop,1,2003,2003
deep pop r&b,alternative metal,1,2003,2003
deep pop r&b,alternative r&b,1,2012,2012
deep pop r&b,alternative rock,1,2000,2000
deep pop r&b,atl hip hop,1,2003,2003
deep pop r&b,australian dance,1,2012,2012
deep pop r&b,australian pop,1,2003,2003
deep pop r&b,baton rouge rap,1,2005,2005
deep pop r&b,battle rap,1,2003,2003
deep pop r&b,bergen indie,1,2012,2012
deep pop r&b,blues-rock,2,2000,2003
deep pop r&b,boy band,3,2003,2012
deep pop r&b,british soul,2,2003,2012
deep pop r&b,canadian country,1,2003,2003
deep pop r&b,canadian hip hop,1,2012,2012
deep pop r&b,canadian pop,2,2003,2009
deep pop r&b,candy pop,1,2003,2003
deep pop r&b,cantautor,1,2005,2005
deep pop r&b,chicago rap,4,2000,2012
deep pop r&b,chicano rap,1,2003,2003
deep pop r&b,colombian pop,2,2005,2009
deep pop r&b,conscious hip hop,3,2003,2012
deep pop r&b,country,2,2000,2003
deep pop r&b,crunk,3,2000,2005
deep pop r&b,dancehall,1,2003,2003
deep pop r&b,deep latin christian,1,2000,2000
deep pop r&b,detroit hip hop,2,2003,2005
deep pop r&b,dirty south rap,1,2005,2005
deep pop r&b,east coast hip hop,1,2000,2000
deep pop r&b,edm,1,2012,2012
deep pop r&b,emo,2,2005,2009
deep pop r&b,europop,1,2003,2003
deep pop r&b,folk rock,1,2003,2003
deep pop r&b,folk-pop,2,2003,2012
deep pop r&b,funk,1,2003,2003
deep pop r&b,g funk,1,2012,2012
deep pop r&b,gangster rap,3,2005,2012
deep pop r&b,garage rock,1,2009,2009
deep pop r&b,gospel,1,2000,2000
deep pop r&b,gospel r&b,1,2003,2003
deep pop r&b,hip hop,1,2005,2005
deep pop r&b,hip pop,2,2003,2005
deep pop r&b,idol,1,2003,2003
deep pop r&b,indie pop,1,2012,2012
deep pop r&b,indie rock,1,2005,2005
deep pop r&b,latin,1,2000,2000
deep pop r&b,modern alternative rock,1,2012,2012
deep pop r&b,modern rock,1,2012,2012
deep pop r&b,motown,1,2003,2003
deep pop r&b,neo mellow,1,2003,2003
deep pop r&b,neo soul,2,2000,2003
deep pop r&b,nyc rap,2,2005,2009
deep pop r&b,permanent wave,2,2003,2012
deep pop r&b,philly rap,1,2003,2003
deep pop r&b,pop,2,2005,2012
deep pop r&b,pop rock,1,2012,2012
deep pop r&b,reggae fusion,1,2009,2009
deep southern trap,-,2,2007,2008
deep southern trap,alabama rap,1,2007,2007
deep southern trap,alternative metal,1,2007,2007
deep southern trap,alternative rock,1,2007,2007
deep southern trap,australian pop,1,2007,2007
deep southern trap,bassline,2,2007,2008
deep southern trap,baton rouge rap,1,2008,2008
deep southern trap,blues-rock,1,2008,2008
deep southern trap,british soul,1,2007,2007
deep southern trap,canadian latin,1,2007,2007
deep southern trap,canadian pop,1,2007,2007
deep southern trap,chicago rap,1,2007,2007
deep southern trap,chicano rap,1,2007,2007
deep southern trap,colombian pop,1,2007,2007
deep southern trap,contemporary country,2,2007,2008
deep southern trap,crunk,1,2008,2008
deep southern trap,dance pop,1,2007,2007
deep southern trap,detroit hip hop,1,2007,2007
deep southern trap,dirty south rap,1,2007,2007
deep southern trap,east coast hip hop,1,2007,2007
deep southern trap,electropowerpop,1,2008,2008
deep southern trap,emo,1,2007,2007
deep southern trap,florida rap,1,2008,2008
deep southern trap,g funk,2,2007,2008
deep southern trap,gangster rap,2,2007,2008
deep southern trap,hip hop,1,2007,2007
deep southern trap,hip pop,2,2007,2008
deep southern trap,idol,1,2008,2008
deep southern trap,indie r&b,1,2008,2008
deep southern trap,irish rock,1,2007,2007
deep southern trap,modern rock,1,2007,2007
deep southern trap,neo mellow,1,2007,2007
deep southern trap,neon pop punk,1,2007,2007
deep southern trap,new orleans rap,1,2008,2008
deep southern trap,permanent wave,1,2008,2008
deep southern trap,pop,2,2007,2008
deep southern trap,pop rap,1,2007,2007
detroit hip hop,-,7,2002,2020
detroit hip hop,acoustic pop,7,2000,2013
detroit hip hop,adult standards,1,2010,2010
detroit hip hop,alabama rap,1,2007,2007
detroit hip hop,alaska indie,1,2002,2002
detroit hip hop,album rock,1,2015,2015
detroit hip hop,alternative dance,1,2013,2013
detroit hip hop,alternative hip hop,3,2000,2003
detroit hip hop,alternative metal,4,2000,2012
detroit hip hop,alternative r&b,3,2012,2017
detroit hip hop,alternative rock,4,2000,2010
detroit hip hop,art pop,1,2013,2013
detroit hip hop,atl hip hop,4,2002,2015
detroit hip hop,australian country,3,2004,2017
detroit hip hop,australian dance,2,2012,2015
detroit hip hop,australian pop,4,2003,2017
detroit hip hop,bass trap,1,2013,2013
detroit hip hop,bergen indie,1,2012,2012
detroit hip hop,big beat,1,2002,2002
detroit hip hop,big room,2,2013,2015
detroit hip hop,blues-rock,3,2000,2004
detroit hip hop,bmore,1,2015,2015
detroit hip hop,bounce,1,2004,2004
detroit hip hop,boy band,6,2002,2020
detroit hip hop,british soul,5,2003,2017
detroit hip hop,brostep,2,2015,2018
detroit hip hop,cali rap,3,2006,2018
detroit hip hop,canadian contemporary r&b,1,2015,2015
detroit hip hop,canadian hip hop,4,2012,2020
detroit hip hop,canadian latin,1,2002,2002
detroit hip hop,canadian pop,7,2002,2018
detroit hip hop,candy pop,1,2013,2013
detroit hip hop,ccm,1,2004,2004
detroit hip hop,celtic rock,1,2013,2013
detroit hip hop,chamber pop,1,2013,2013
detroit hip hop,chicago drill,1,2020,2020
detroit hip hop,chicago rap,8,2000,2018
detroit hip hop,chicano rap,2,2003,2004
detroit hip hop,colombian pop,2,2002,2009
detroit hip hop,comic,1,2013,2013
detroit hip hop,complextro,3,2013,2018
detroit hip hop,conscious hip hop,5,2000,2013
detroit hip hop,contemporary country,4,2012,2018
detroit hip hop,country,1,2000,2000
detroit hip hop,country rap,1,2020,2020
detroit hip hop,crunk,5,2000,2018
detroit hip hop,dancehall,2,2002,2003
detroit hip hop,deep groove house,1,2015,2015
detroit hip hop,deep latin christian,1,2000,2000
detroit hip hop,deep pop r&b,3,2000,2012
detroit hip hop,dfw rap,1,2017,2017
detroit hip hop,dirty south rap,5,2004,2017
detroit hip hop,east coast hip hop,4,2000,2020
detroit hip hop,edm,6,2011,2018
detroit hip hop,electro,2,2013,2017
detroit hip hop,electropop,4,2009,2017
detroit hip hop,emo,5,2005,2015
detroit hip hop,emo rap,2,2017,2018
detroit hip hop,eurodance,1,2002,2002
detroit hip hop,europop,1,2002,2002
detroit hip hop,florida rap,1,2017,2017
detroit hip hop,folk rock,1,2011,2011
detroit hip hop,folk-pop,6,2002,2015
detroit hip hop,francoton,2,2017,2018
detroit hip hop,funk,1,2003,2003
detroit hip hop,g funk,2,2012,2014
detroit hip hop,gangster rap,5,2002,2015
detroit hip hop,garage rock,2,2009,2010
detroit hip hop,ghanaian hip hop,1,2015,2015
detroit hip hop,glam metal,1,2006,2006
detroit hip hop,gospel,1,2000,2000
detroit hip hop,gospel r&b,1,2004,2004
detroit hip hop,hardcore hip hop,1,2004,2004
detroit hip hop,hip hop,5,2000,2020
detroit hip hop,hip pop,2,2009,2013
detroit hip hop,houston rap,1,2015,2015
detroit hip hop,idol,1,2003,2003
detroit hip hop,indie folk,1,2015,2015
detroit hip hop,indie pop,4,2012,2018
detroit hip hop,indie pop rap,1,2009,2009
detroit hip hop,indie r&b,1,2018,2018
detroit hip hop,indie rock,1,2005,2005
detroit hip hop,la indie,1,2013,2013
detroit hip hop,latin,6,2000,2020
detroit hip hop,metropopolis,1,2018,2018
detroit hip hop,modern alternative rock,2,2012,2015
detroit hip hop,modern reggae,1,2017,2017
detroit hip hop,modern rock,4,2002,2013
detroit hip hop,nashville indie,1,2013,2013
detroit hip hop,neo mellow,7,2002,2015
detroit hip hop,neo soul,2,2000,2004
detroit hip hop,neo-singer-songwriter,1,2015,2015
detroit hip hop,nu metal,1,2006,2006
detroit hip hop,nyc rap,1,2009,2009
detroit hip hop,permanent wave,2,2012,2017
detroit hip hop,pinoy hip hop,1,2015,2015
detroit hip hop,pop,5,2004,2013
detroit hip hop,pop edm,1,2013,2013
detroit hip hop,pop house,1,2002,2002
detroit hip hop,pop punk,1,2017,2017
detroit hip hop,pop rap,2,2007,2018
detroit hip hop,pop rock,3,2011,2015
detroit hip hop,post-teen pop,2,2009,2010
detroit hip hop,r&b,2,2002,2010
detroit hip hop,rap,1,2017,2017
detroit hip hop,reggae fusion,2,2009,2015
detroit hip hop,reggaeton,1,2018,2018
detroit hip hop,romanian pop,1,2011,2011
detroit hip hop,scorecore,1,2015,2015
detroit hip hop,soca,1,2004,2004
detroit hip hop,trap music,2,2017,2018
detroit hip hop,uk pop,1,2013,2013
detroit hip hop,viral trap,1,2015,2015
dfw rap,-,4,2018,2023
dfw rap,alternative r&b,1,2017,2017
dfw rap,art pop,1,2022,2022
dfw rap,atl hip hop,3,2020,2023
dfw rap,atl trap,1,2023,2023
dfw rap,australian country,1,2017,2017
dfw rap,australian pop,1,2017,2017
dfw rap,baroque pop,1,2019,2019
dfw rap,bmore,1,2019,2019
dfw rap,boy band,3,2018,2020
dfw rap,british soul,1,2017,2017
dfw rap,brostep,3,2018,2020
dfw rap,cali rap,2,2018,2019
dfw rap,canadian contemporary r&b,2,2022,2023
dfw rap,canadian hip hop,5,2018,2023
dfw rap,canadian pop,3,2017,2019
dfw rap,ccm,1,2019,2019
dfw rap,chicago drill,1,2020,2020
dfw rap,chicago rap,3,2017,2019
dfw rap,complextro,2,2017,2018
dfw rap,conscious hip hop,1,2019,2019
dfw rap,contemporary country,1,2018,2018
dfw rap,country rap,3,2019,2022
dfw rap,crunk,2,2018,2022
dfw rap,detroit hip hop,2,2018,2020
dfw rap,dirty south rap,2,2017,2019
dfw rap,east coast hip hop,1,2020,2020
dfw rap,edm,3,2017,2019
dfw rap,electro,1,2017,2017
dfw rap,electropop,1,2023,2023
dfw rap,emo rap,3,2017,2019
dfw rap,escape room,1,2022,2022
dfw rap,florida rap,4,2017,2023
dfw rap,francoton,2,2017,2018
dfw rap,hip hop,3,2019,2023
dfw rap,hollywood,1,2019,2019
dfw rap,indie pop,2,2017,2018
dfw rap,indie r&b,1,2018,2018
dfw rap,k-pop,1,2020,2020
dfw rap,latin,4,2017,2020
dfw rap,latin viral pop,1,2022,2022
dfw rap,metropopolis,2,2018,2019
dfw rap,permanent wave,1,2017,2017
dfw rap,philly rap,1,2023,2023
dfw rap,pop,1,2023,2023
dfw rap,pop punk,1,2017,2017
dfw rap,pop rap,1,2018,2018
dfw rap,rap,2,2017,2019
dfw rap,reggae fusion,1,2019,2019
dfw rap,reggaeton,3,2018,2023
dfw rap,trap music,3,2017,2019
dirty south rap,-,3,2000,2013
dirty south rap,acoustic pop,6,2000,2010
dirty south rap,adult standards,1,2010,2010
dirty south rap,afro dancehall,1,2016,2016
dirty south rap,alabama rap,1,2007,2007
dirty south rap,alaska indie,1,2003,2003
dirty south rap,alternative dance,2,2010,2013
dirty south rap,alternative hip hop,3,2000,2006
dirty south rap,alternative metal,4,2000,2010
dirty south rap,alternative r&b,2,2013,2017
dirty south rap,alternative rock,4,2000,2010
dirty south rap,art pop,2,2013,2014
dirty south rap,atl hip hop,4,2000,2008
dirty south rap,australian country,3,2004,2017
dirty south rap,australian pop,5,2000,2017
dirty south rap,baroque pop,1,2006,2006
dirty south rap,bass trap,1,2013,2013
dirty south rap,bassline,1,2008,2008
dirty south rap,baton rouge rap,2,2005,2008
dirty south rap,battle rap,1,2003,2003
dirty south rap,big room,1,2013,2013
dirty south rap,blues-rock,4,2000,2008
dirty south rap,boy band,4,2003,2019
dirty south rap,british soul,5,2003,2017
dirty south rap,bubblegum dance,2,2000,2006
dirty south rap,cali rap,2,2006,2019
dirty south rap,canadian country,1,2003,2003
dirty south rap,canadian hip hop,2,2010,2013
dirty south rap,canadian latin,1,2006,2006
dirty south rap,canadian pop,4,2003,2011
dirty south rap,candy pop,2,2003,2013
dirty south rap,cantautor,1,2005,2005
dirty south rap,ccm,1,2019,2019
dirty south rap,celtic rock,2,2010,2013
dirty south rap,chamber pop,1,2013,2013
dirty south rap,chicago rap,7,2000,2016
dirty south rap,chicano rap,2,2003,2008
dirty south rap,colombian pop,3,2005,2009
dirty south rap,comic,1,2013,2013
dirty south rap,complextro,3,2013,2017
dirty south rap,conscious hip hop,6,2000,2016
dirty south rap,contemporary country,3,2006,2010
dirty south rap,country,2,2000,2003
dirty south rap,country rap,1,2019,2019
dirty south rap,crunk,5,2000,2008
dirty south rap,dancehall,1,2003,2003
dirty south rap,deep latin christian,1,2000,2000
dirty south rap,deep pop r&b,3,2000,2009
dirty south rap,deep southern trap,1,2008,2008
dirty south rap,detroit hip hop,7,2000,2014
dirty south rap,dfw rap,1,2016,2016
dirty south rap,east coast hip hop,2,2000,2006
dirty south rap,edm,5,2011,2019
dirty south rap,electro,2,2013,2016
dirty south rap,electropop,2,2009,2014
dirty south rap,electropowerpop,1,2008,2008
dirty south rap,emo,5,2005,2013
dirty south rap,emo rap,1,2019,2019
dirty south rap,europop,1,2003,2003
dirty south rap,florida rap,2,2008,2019
dirty south rap,folk rock,2,2003,2011
dirty south rap,folk-pop,2,2003,2013
dirty south rap,funk,1,2003,2003
dirty south rap,g funk,4,2000,2014
dirty south rap,gangster rap,4,2005,2009
dirty south rap,garage rock,2,2009,2010
dirty south rap,girl group,1,2000,2000
dirty south rap,glam metal,1,2006,2006
dirty south rap,gospel,1,2000,2000
dirty south rap,gospel r&b,1,2003,2003
dirty south rap,hip hop,4,2000,2013
dirty south rap,hip pop,6,2000,2013
dirty south rap,hollywood,1,2019,2019
dirty south rap,house,1,2016,2016
dirty south rap,idol,3,2003,2008
dirty south rap,indie pop,1,2010,2010
dirty south rap,indie pop rap,1,2009,2009
dirty south rap,indie r&b,1,2008,2008
dirty south rap,indie rock,1,2005,2005
dirty south rap,irish rock,1,2006,2006
dirty south rap,la indie,1,2013,2013
dirty south rap,latin,3,2000,2011
dirty south rap,latin viral pop,1,2014,2014
dirty south rap,metropopolis,1,2014,2014
dirty south rap,modern alternative rock,1,2016,2016
dirty south rap,modern rock,4,2006,2016
dirty south rap,motown,1,2003,2003
dirty south rap,nashville indie,1,2013,2013
dirty south rap,neo mellow,7,2003,2016
dirty south rap,neo r&b,1,2008,2008
dirty south rap,neo soul,3,2000,2004
dirty south rap,new orleans rap,1,2008,2008
dirty south rap,nu metal,1,2006,2006
dirty south rap,nyc rap,2,2005,2009
dirty south rap,permanent wave,4,2000,2017
dirty south rap,philly rap,1,2003,2003
dirty south rap,pinoy hip hop,1,2016,2016
dirty south rap,pop,5,2005,2010
dirty south rap,pop edm,1,2013,2013
dirty south rap,pop punk,1,2016,2016
dirty south rap,pop rap,3,2007,2010
dirty south rap,pop rock,2,2011,2016
dirty south rap,post-teen pop,2,2009,2010
dirty south rap,r&b,3,2006,2014
dirty south rap,reggae fusion,1,2009,2009
dirty south rap,romanian pop,1,2011,2011
dirty south rap,soca,1,2004,2004
dirty south rap,trap music,1,2017,2017
dirty south rap,uk funky,1,2016,2016
dirty south rap,uk pop,1,2013,2013
disco,alternative hip hop,1,2001,2001
disco,australian pop,1,2001,2001
disco,canadian pop,1,2001,2001
disco,celtic,1,2001,2001
disco,conscious hip hop,1,2001,2001
disco,downtempo,1,2001,2001
disco,jam band,1,2001,2001
disco,nyc rap,1,2001,2001
downtempo,canadian pop,1,2001,2001
downtempo,jam band,1,2001,2001
dutch pop,-,1,2021,2021
dutch pop,adult standards,1,2021,2021
dutch pop,afro dancehall,1,2021,2021
dutch pop,alternative r&b,1,2021,2021
dutch pop,atl hip hop,1,2021,2021
dutch pop,australian country,1,2021,2021
dutch pop,boy band,1,2021,2021
dutch pop,brostep,1,2021,2021
dutch pop,canadian contemporary r&b,1,2021,2021
dutch pop,canadian hip hop,1,2021,2021
dutch pop,chicago drill,1,2021,2021
dutch pop,chicago rap,1,2021,2021
dutch pop,colombian pop,1,2021,2021
dutch pop,contemporary country,1,2021,2021
dutch pop,country rap,1,2021,2021
dutch pop,crunk,1,2021,2021
dutch pop,electropop,1,2021,2021
dutch pop,escape room,1,2021,2021
dutch pop,gauze pop,1,2021,2021
dutch pop,hip hop,1,2021,2021
dutch pop,k-pop,1,2021,2021
dutch pop,modern rock,1,2021,2021
dutch pop,pop,1,2021,2021
dutch pop,rap,1,2021,2021
dutch pop,reggaeton,1,2021,2021
east coast hip hop,-,3,2002,2007
east coast hip hop,acoustic pop,5,2000,2009
east coast hip hop,alabama rap,1,2007,2007
east coast hip hop,alaska indie,2,2002,2003
east coast hip hop,album rock,1,2015,2015
east coast hip hop,alternative hip hop,3,2002,2005
east coast hip hop,alternative metal,4,2002,2009
east coast hip hop,alternative rock,2,2002,2007
east coast hip hop,atl hip hop,3,2002,2015
east coast hip hop,australian country,1,2004,2004
east coast hip hop,australian dance,1,2002,2002
east coast hip hop,australian pop,2,2003,2007
east coast hip hop,bassline,1,2007,2007
east coast hip hop,baton rouge rap,1,2005,2005
east coast hip hop,battle rap,2,2003,2004
east coast hip hop,big beat,1,2002,2002
east coast hip hop,big room,2,2011,2015
east coast hip hop,blues-rock,2,2003,2004
east coast hip hop,bmore,1,2015,2015
east coast hip hop,bounce,1,2004,2004
east coast hip hop,boy band,4,2002,2015
east coast hip hop,british soul,4,2003,2015
east coast hip hop,brostep,1,2015,2015
east coast hip hop,cali rap,1,2015,2015
east coast hip hop,canadian country,1,2003,2003
east coast hip hop,canadian hip hop,1,2011,2011
east coast hip hop,canadian latin,2,2002,2007
east coast hip hop,canadian pop,6,2002,2015
east coast hip hop,candy pop,2,2002,2003
east coast hip hop,cantautor,1,2005,2005
east coast hip hop,ccm,1,2004,2004
east coast hip hop,celtic,1,2004,2004
east coast hip hop,celtic rock,1,2011,2011
east coast hip hop,chicago rap,4,2000,2007
east coast hip hop,chicano rap,3,2003,2007
east coast hip hop,colombian pop,4,2002,2009
east coast hip hop,conscious hip hop,3,2002,2005
east coast hip hop,contemporary country,3,2002,2015
east coast hip hop,country,2,2000,2003
east coast hip hop,crunk,5,2000,2015
east coast hip hop,dancehall,2,2002,2003
east coast hip hop,deep dance pop,1,2011,2011
east coast hip hop,deep groove house,1,2015,2015
east coast hip hop,deep latin christian,1,2000,2000
east coast hip hop,deep pop r&b,3,2003,2009
east coast hip hop,detroit hip hop,7,2002,2011
east coast hip hop,dirty south rap,6,2003,2011
east coast hip hop,edm,2,2011,2015
east coast hip hop,electropop,2,2009,2015
east coast hip hop,emo,3,2005,2009
east coast hip hop,eurodance,1,2002,2002
east coast hip hop,europop,2,2002,2003
east coast hip hop,folk rock,2,2003,2011
east coast hip hop,folk-pop,4,2002,2015
east coast hip hop,funk,1,2003,2003
east coast hip hop,g funk,5,2003,2011
east coast hip hop,gangster rap,5,2002,2009
east coast hip hop,garage rock,1,2009,2009
east coast hip hop,glam metal,1,2006,2006
east coast hip hop,gospel,1,2000,2000
east coast hip hop,gospel r&b,2,2003,2004
east coast hip hop,hardcore hip hop,1,2004,2004
east coast hip hop,hip hop,3,2005,2009
east coast hip hop,hip pop,4,2003,2009
east coast hip hop,houston rap,1,2015,2015
east coast hip hop,idol,1,2003,2003
east coast hip hop,indie folk,1,2015,2015
east coast hip hop,indie pop,1,2015,2015
east coast hip hop,indie pop rap,1,2009,2009
east coast hip hop,indie rock,1,2005,2005
east coast hip hop,irish rock,1,2007,2007
east coast hip hop,latin,2,2011,2015
east coast hip hop,modern alternative rock,1,2015,2015
east coast hip hop,modern rock,3,2002,2009
